id,log,seen,semantic_template,template,valid,predict
1,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
2,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
3,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
4,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
5,63543 double-hummer alignment exceptions,False,{exception_count} double-hummer alignment exceptions,<*> double-hummer alignment exceptions,True,<*> double-hummer alignment exceptions
6,162 double-hummer alignment exceptions,False,{exception_count} double-hummer alignment exceptions,<*> double-hummer alignment exceptions,True,<*> double-hummer alignment exceptions
7,141 double-hummer alignment exceptions,False,{exception_count} double-hummer alignment exceptions,<*> double-hummer alignment exceptions,True,<*> double-hummer alignment exceptions
8,"CE sym 2, at 0x0b85eee0, mask 0x05",False,"CE sym {sym_id}, at {address}, mask {mask}","CE sym <*>, at <*>, mask <*>",True,"CE sym <*>, at <*>, mask <*>"
9,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,False,ciod: failed to read message prefix on control stream (CioStream socket to {ip_address}:{port},ciod: failed to read message prefix on control stream (CioStream socket to <*>,True,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
10,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,False,ciod: failed to read message prefix on control stream (CioStream socket to {ip_address}:{port},ciod: failed to read message prefix on control stream (CioStream socket to <*>,True,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
11,"CE sym 20, at 0x1438f9e0, mask 0x40",False,"CE sym {sym_id}, at {address}, mask {mask}","CE sym <*>, at <*>, mask <*>",True,"CE sym <*>, at <*>, mask <*>"
32,force load/store alignment...............0,False,force load/store alignment...............{alignment_status},force load/store alignment...............<*>,True,force load/store alignment...............<*>
57,"CE sym 20, at 0x01228120, mask 0x10",False,"CE sym {sym_id}, at {address}, mask {mask}","CE sym <*>, at <*>, mask <*>",True,"CE sym <*>, at <*>, mask <*>"
58,"CE sym 5, at 0x11042a80, mask 0x04",False,"CE sym {sym_id}, at {address}, mask {mask}","CE sym <*>, at <*>, mask <*>",True,"CE sym <*>, at <*>, mask <*>"
59,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
60,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
61,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
62,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
63,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
64,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
65,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
66,instruction cache parity error corrected,False,instruction cache parity error corrected,instruction cache parity error corrected,True,instruction cache parity error corrected
69,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,False,ciod: cpu {cpu_id} at treeaddr {treeaddr} sent unrecognized message {message},ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,True,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
85,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,False,ciod: LOGIN chdir({directory}) failed: No such file or directory,ciod: LOGIN chdir(<*>) failed: No such file or directory,True,ciod: LOGIN chdir(<*>) failed: No such file or directory
