id,log,seen,semantic_template,template,valid,predict
1,"printFreezingDisplayLogsopening app wtoken = AppWindowToken(9f4ef63 token=Token(a64f992 ActivityRecord(de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761))), allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",False,"printFreezingDisplayLogsopening app wtoken = AppWindowToken({token_id} token=Token({token_value} ActivityRecord({activity_record_id} u{user_id} {package_name}/{activity_name} t{task_id})), allDrawn= {all_drawn}, startingDisplayed = {starting_displayed}, startingMoved = {starting_moved}, isRelaunching = {is_relaunching}","printFreezingDisplayLogsopening app wtoken = AppWindowToken(<*> token=Token(<*> ActivityRecord(<*> u0 <*>/.<*> t761))), allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>",True,"printFreezingDisplayLogsopening app wtoken = AppWindowToken(<*> token=Token(<*> ActivityRecord(<*> u<*> <*>/<*> t<*>)), allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
2,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",False,"acquire lock={lock_id}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",True,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
3,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",False,"ready={boolean},policy={integer},wakefulness={integer},wksummary={hexadecimal},uasummary={hexadecimal},bootcompleted={boolean},boostinprogress={boolean},waitmodeenable={boolean},mode={boolean},manual={integer},auto={integer},adj={float}userId={integer}","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",True,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>userId=<*>"
4,Skipping AppWindowToken(df0798e token=Token(78af589 ActivityRecord(3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761))) -- going to hide,False,Skipping AppWindowToken({token_id} token=Token({token_value} ActivityRecord({activity_record_id} u0 {package_name}/{activity_name} t{task_id})) -- going to hide,Skipping AppWindowToken(<*> token=Token(<*> ActivityRecord(<*> u0 <*>))) -- going to hide,True,Skipping AppWindowToken(<*> token=Token(<*> ActivityRecord(<*> u0 <*>/<*> t<*>)) -- going to hide
5,visible is system.time.showampm,False,{variable_name} is {variable_name}.{variable_name},visible is <*>,True,<*> is <*>.<*>
6,mVisiblity.getValue is false,False,{mVisiblity}.getValue is {value},mVisiblity.getValue is <*>,True,<*>.getValue is <*>
7,visible is system.charge.show,False,{variable_name} is {variable_name}.{variable_name},visible is <*>,True,<*> is <*>.<*>
8,mVisiblity.getValue is false,False,{mVisiblity}.getValue is {value},mVisiblity.getValue is <*>,True,<*>.getValue is <*>
9,visible is system.call.count gt 0,False,{variable_name} is {variable_name}.{variable_name},visible is <*> gt <*>,True,<*> is <*>.<*>
10,mVisiblity.getValue is false,False,{mVisiblity}.getValue is {value},mVisiblity.getValue is <*>,True,<*>.getValue is <*>
