id,log,seen,semantic_template,template,valid,predict
1,Created MRAppMaster for application appattempt_1445144423722_0020_000001,False,Created MRAppMaster for application {application_id},Created MRAppMaster for application <*>,True,Created MRAppMaster for application <*>
2,Executing with tokens:,False,Executing with tokens:,Executing with tokens:,True,Executing with tokens:
3,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId ( application_id ( id: 20 cluster_timestamp: 1445144423722 ) attemptId: 1 ) keyId: -127633188)",False,"Kind: {kind}, Service: {service}, Ident: (appAttemptId ( application_id ( id: {id} cluster_timestamp: {cluster_timestamp} ) attemptId: {attemptId} ) keyId: {keyId})","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId ( application_id ( id: <*> cluster_timestamp: <*> ) attemptId: <*> ) keyId: <*>)",True,"Kind: <*>, Service: <*>, Ident: (appAttemptId ( application_id ( id: <*> cluster_timestamp: <*> ) attemptId: <*> ) keyId: <*>)"
4,Using mapred newApiCommitter.,False,Using {variable_name} {variable_name}.,Using mapred newApiCommitter.,True,Using <*> <*>.
6,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,False,OutputCommitter is {committer_class},OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,True,OutputCommitter is <*>
7,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
8,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
9,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
10,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
11,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
12,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
13,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
14,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
15,Default file system [hdfs://msra-sa-41:9000],False,Default file system [{file_system}],Default file system [hdfs://<*>:<*>],True,Default file system [<*>]
16,Default file system [hdfs://msra-sa-41:9000],False,Default file system [{file_system}],Default file system [hdfs://<*>:<*>],True,Default file system [<*>]
17,Default file system [hdfs://msra-sa-41:9000],False,Default file system [{file_system}],Default file system [hdfs://<*>:<*>],True,Default file system [<*>]
18,Emitting job history data to the timeline server is not enabled,False,Emitting job history data to the {variable_name} server is not enabled,Emitting job history data to the timeline server is not enabled,True,Emitting job history data to the <*> server is not enabled
19,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,False,Registering class {class_name} for class {handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
20,loaded properties from hadoop-metrics2.properties,False,loaded properties from {file_name},loaded properties from hadoop-metrics2.properties,True,loaded properties from <*>
21,Scheduled snapshot period at 10 second(s).,False,Scheduled snapshot period at {time_period} second(s).,Scheduled snapshot period at <*> second(s).,True,Scheduled snapshot period at <*> second(s).
