id,log,seen,semantic_template,template,valid,predict
1,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,False,IOThunderboltSwitch<{variable_1}>({variable_2})::listenerCallback - Thunderbolt HPD packet for route = {variable_3} port = {variable_4} unplug = {variable_5},<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,True,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
2,Thermal pressure state: 1 Memory pressure state: 0,False,Thermal pressure state: {thermal_pressure} Memory pressure state: {memory_pressure},Thermal pressure state: <*> Memory pressure state: <*>,True,Thermal pressure state: <*> Memory pressure state: <*>
3,FA||Url||taskID[2019352994] dealloc,False,FA||Url||taskID[{taskID}] dealloc,FA||Url||taskID[<*>] dealloc,True,FA||Url||taskID[<*>] dealloc
4,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],False,ARPT: {timestamp}: AirPort_Brcm43xx::syncPowerState: WWEN[{state}],ARPT: <*>: <*>::syncPowerState: WWEN[enabled],True,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[<*>]
5,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],False,ARPT: {timestamp}: {component}::{method}: WWEN[{state}],ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],True,ARPT: <*>: <*>::<*>: WWEN[<*>]
6,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),False,mDNS_DeregisterInterface: Frequent transitions for interface {interface_name} ({ip_address}),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),True,mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>)
7,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,",False,"ARPT: {timestamp}: IOPMPowerSource Information: {sleep_state}, SleepType: {sleep_type}, 'ExternalConnected': {external_connected}, 'TimeRemaining': {time_remaining},","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",True,"ARPT: <*>: IOPMPowerSource Information: <*>, SleepType: <*>, 'ExternalConnected': <*>, 'TimeRemaining': <*>,"
8,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",False,"ARPT: {timestamp}: {interface}: {function}: Original Seq: {original_seq}, Ack: {ack}, Win size: {win_size}","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",True,"ARPT: <*>: <*>: <*>: Original Seq: <*>, Ack: <*>, Win size: <*>"
9,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,False,ARPT: {timestamp}: ARPT: Wake Reason: {wake_reason},ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,True,ARPT: <*>: ARPT: Wake Reason: <*>
10,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,False,{variable_name}-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {variable_name},<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,True,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
11,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,False,IO80211AWDLPeerManager::setAwdlAutoMode {action} {status},<*>::setAwdlAutoMode Resuming AWDL,True,IO80211AWDLPeerManager::setAwdlAutoMode <*> <*>
12,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,False,{variable_name}-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {variable_name},<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,True,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
13,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",False,"ARPT: {timestamp}: {interface}: MDNS: {srv_recs} SRV Recs, {txt_recs} TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",True,"ARPT: <*>: <*>: MDNS: <*> SRV Recs, <*> TXT Recs"
